listing_id,title,price,bhk,area_sqft,age_years,parking,location,price_per_sqft,price_text,area_text,page_scraped
345954,JBMR Tathastu,95.0,3.0,,,,,,₹95,.ft,1
272383,Risland Sky Mansion,57500000.0,3.0,,,,,,₹5.75 Cr,.ft,1
350084,Maa Vaishno Homes,40.0,3.0,,,,,,₹40,.ft,1
346895,Radhaya Urbanity,13799999.999999998,4.0,,,,,,₹1.38 Cr,.ft,1
345951,S Gambhir Skyline Apartment,11000000.0,4.0,,,,,,1.1 Cr,.ft,1
350110,Happy Arnav Smart Homes,25.0,3.0,,,,,,₹25,.ft,1
350101,Bankey Bihari Homes,40.0,3.0,,,,,,₹40,.ft,1
345897,Guru Ji Innovative Homes,10000000.0,3.0,,,,,,1 Cr,.ft,1
349079,Aman Shree Ji Apartment,11000000.0,3.0,,,,Sector 28,,₹1.1 Cr,.ft,1
346058,Aman Tower 28 Bamnoli Dwarka,15500000.0,4.0,,,,Sector 28,,₹1.55 Cr,.ft,1
350087,Altura Green Park Luxury Floors,62500000.0,3.0,,,,,,₹6.25 Cr,.ft,1
342841,Happy Grahlaxmi Apartment,23.0,2.0,,,,,,₹23,.ft,1
350093,Altura Greater Kailash 2 Ultra Premium Luxury Builder Floors,130000000.0,4.0,,,,,,₹13 Cr,.ft,1
350104,Happy Deepak Luxury Homes,11000000.0,4.0,,,,,,1.1 Cr,.ft,1
350126,Altura Lajpat Nagar 3 Premium Builder Floors,95000000.0,4.0,,,,,,₹9.5 Cr,.ft,1
350107,Happy Neeru Residency,60.0,4.0,,,,,,₹60,.ft,1
350090,Altura Greater Kailash 1 Premium Builder Floor,62500000.0,3.0,,,,,,₹6.25 Cr,.ft,1
18339679,3 BHK Independent Builder Floor in Daya Basti,16000000.0,3.0,1440.0,1.0,1.0,,11111.111111111111,₹1.6 Cr,1440 sq.ft,1
17606043,3 BHK Flat in Deenpur,85.0,3.0,1040.0,1.0,1.0,,0.08173076923076923,₹85.0,1040 sq.ft,1
18449751,3 BHK Flat in Sector 10 Dwarka,29000000.0,3.0,1700.0,1.0,1.0,Sector 10,17058.823529411766,₹2.9 Cr,1700 sq.ft,1
18464560,1 BHK Flat in Sector 14 Dwarka,70.0,1.0,650.0,1.0,,Sector 14,0.1076923076923077,₹70.0,650 sq.ft,1
18119991,2 BHK Flat in Burari,27.5,2.0,600.0,1.0,,,0.04583333333333333,₹27.5,600 sq.ft,1
343493,Goyal Premium Floors,11000000.0,3.0,,,,Sector 20,,1.1 Cr,.ft,1
348308,Bhawani Luxurious Floors,30.0,4.0,,,,Sector 15,,₹30,.ft,1
332704,Prem Affordable Floors,22.0,4.0,,,,Sector 3,,₹22,.ft,1
333282,Happy Luxurious Homes Uttam Nagar,14.0,3.0,,,,,,₹14,.ft,1
298265,The Adarsh Apartment,23.0,3.0,,,,,,₹23,.ft,1
318299,Prem Luxurious Floors,35.0,4.0,,,,Sector 16B,,₹35,.ft,1
327597,Sun Affordable Flats,25.5,3.0,,,,,,₹25.5,.ft,1
314911,Jini Smart View Floors,10000000.0,4.0,,,,,,1 Cr,.ft,1
18321652,3 BHK Flat in Sector 17 Dwarka,17000000.0,3.0,1500.0,1.0,1.0,Sector 17,11333.333333333334,₹1.7 Cr,1500 sq.ft,2
349783,Arora Luxurious Floors,25000000.0,4.0,,,,,,₹2.5 Cr,.ft,2
18302248,3 BHK Independent Builder Floor in Sector 22 Rohini,10600000.0,3.0,1200.0,1.0,,Sector 22,8833.333333333334,₹1.06 Cr,1200 sq.ft,2
18241318,3 BHK Independent Builder Floor in Sector 24 Rohini,13500000.0,3.0,1150.0,1.0,,Sector 24,11739.130434782608,₹1.35 Cr,1150 sq.ft,2
18454924,3 BHK Flat in Chhattarpur,80.0,3.0,1400.0,1.0,1.0,,0.05714285714285714,₹80.0,1400 sq.ft,2
349778,Arora Luxurious Construction,31000000.0,4.0,,,,,,₹3.1 Cr,.ft,2
18408367,3 BHK Independent Builder Floor in Safdarjung Enclave,46000000.0,3.0,1800.0,1.0,,,25555.555555555555,₹4.6 Cr,1800 sq.ft,2
18190899,4 BHK Independent Builder Floor in Sector 24 Rohini,17500000.0,4.0,1400.0,1.0,1.0,Sector 24,12500.0,₹1.75 Cr,1400 sq.ft,2
18380128,3 BHK Flat in Sector 11 Dwarka,26800000.0,3.0,1700.0,1.0,,Sector 11,15764.70588235294,₹2.68 Cr,1700 sq.ft,2
18317219,4 BHK Flat in Vasant Vihar,170000000.0,4.0,5500.0,1.0,1.0,,30909.090909090908,₹17.0 Cr,5500 sq.ft,2
18457105,3 BHK Flat in Paschim Vihar,17000000.0,3.0,1300.0,1.0,,,13076.923076923076,₹1.7 Cr,1300 sq.ft,2
18240722,4 BHK Independent Builder Floor in Rohini Sector 28,14500000.0,4.0,1400.0,1.0,1.0,Sector 28,10357.142857142857,₹1.45 Cr,1400 sq.ft,2
18406097,4 BHK Independent Builder Floor in Paschim Vihar,40000000.0,4.0,3600.0,1.0,,,11111.111111111111,₹4.0 Cr,3600 sq.ft,2
18353753,2 BHK Flat in Rajpur,35.0,2.0,720.0,1.0,,,0.04861111111111111,₹35.0,720 sq.ft,2
18318380,3 BHK Flat in Sector 23 Dwarka,25700000.0,3.0,1800.0,1.0,1.0,Sector 23,14277.777777777777,₹2.57 Cr,1800 sq.ft,2
18339524,4 BHK Independent Builder Floor in Kishan Ganj,37000000.0,4.0,2450.0,1.0,1.0,,15102.040816326531,₹3.7 Cr,2450 sq.ft,2
350345,OM Luxurious Floors,22500000.0,5.0,,,,Sector 23,,₹2.25 Cr,.ft,2
18215537,4 BHK Independent Builder Floor in East Of Kailash,69000000.0,4.0,3204.0,1.0,1.0,,21535.58052434457,₹6.9 Cr,3204 sq.ft,2
18387089,4 BHK Independent Builder Floor in Paschim Vihar,62500000.0,4.0,3600.0,1.0,1.0,,17361.11111111111,₹6.25 Cr,3600 sq.ft,2
335508,Prem Luxury Homes l,25.0,4.0,,,,Sector 3,,₹25,.ft,2
18115811,3 BHK Flat in Sector 19 Dwarka,23500000.0,3.0,1850.0,1.0,1.0,Sector 19,12702.702702702703,₹2.35 Cr,1850 sq.ft,3
18247232,3 BHK Independent Builder Floor in Defence Colony,90000000.0,3.0,1953.0,1.0,1.0,,46082.949308755764,₹9.0 Cr,1953 sq.ft,3
18404426,4 BHK Independent Builder Floor in Paschim Vihar,43500000.0,4.0,2000.0,1.0,,,21750.0,₹4.35 Cr,2000 sq.ft,3
18416062,3 BHK Flat in Sector 5 Dwarka,25500000.0,3.0,1500.0,1.0,,Sector 5,17000.0,₹2.55 Cr,1500 sq.ft,3
18322369,3 BHK Flat in Sector 5 Dwarka,32000000.0,3.0,1700.0,1.0,,Sector 5,18823.529411764706,₹3.2 Cr,1700 sq.ft,3
13514166,4 BHK Independent Builder Floor in Dwarka Mor,75.0,4.0,1201.0,1.0,1.0,,0.06244796003330558,₹75.0,1201 sq.ft,3
18340070,2 BHK Independent Builder Floor in Shastri Nagar,45.0,2.0,450.0,1.0,1.0,,0.1,₹45.0,450 sq.ft,3
17892094,2.5 BHK Flat in Vasant Kunj,35000000.0,5.0,1700.0,1.0,,,20588.235294117647,₹3.5 Cr,1700 sq.ft,3
18209010,2 BHK Flat in Nawada,24.9,2.0,550.0,1.0,1.0,,0.04527272727272727,₹24.9,550 sq.ft,3
18282276,3 BHK Flat in Sector 2 Dwarka,27000000.0,3.0,1750.0,1.0,1.0,Sector 2,15428.57142857143,₹2.7 Cr,1750 sq.ft,3
18404281,4 BHK Independent Builder Floor in Paschim Vihar,37500000.0,4.0,2800.0,1.0,,,13392.857142857143,₹3.75 Cr,2800 sq.ft,3
18404329,3 BHK Independent Builder Floor in Paschim Vihar,26000000.0,3.0,1350.0,1.0,,,19259.25925925926,₹2.6 Cr,1350 sq.ft,3
18264704,3 BHK Flat in Paschim Vihar,12000000.0,3.0,1200.0,1.0,1.0,,10000.0,₹1.2 Cr,1200 sq.ft,3
17770728,3 BHK Flat in Hastsal,65.0,3.0,1080.0,1.0,1.0,,0.06018518518518518,₹65.0,1080 sq.ft,3
18358632,4 BHK Flat in Sector 5 Dwarka,34700000.0,4.0,2200.0,1.0,1.0,Sector 5,15772.727272727272,₹3.47 Cr,2200 sq.ft,3
18420330,3 BHK Flat in Sector 22 Dwarka,29700000.000000004,3.0,1700.0,1.0,,Sector 22,17470.58823529412,₹2.97 Cr,1700 sq.ft,3
18455638,4 BHK Independent Builder Floor in Paschim Vihar,60000000.0,4.0,2700.0,1.0,,,22222.222222222223,₹6.0 Cr,2700 sq.ft,3
18420659,3 BHK Flat in Sector 22 Dwarka,29700000.000000004,3.0,1700.0,1.0,1.0,Sector 22,17470.58823529412,₹2.97 Cr,1700 sq.ft,3
18215421,3 BHK Flat in Sector 9 Dwarka,26000000.0,3.0,1600.0,1.0,1.0,Sector 9,16250.0,₹2.6 Cr,1600 sq.ft,3
18211639,2 BHK Flat in Mundka,33.0,2.0,765.0,1.0,1.0,,0.043137254901960784,₹33.0,765 sq.ft,3
18449539,2 BHK Flat in Lajpat Nagar,22500000.0,2.0,990.0,1.0,1.0,,22727.272727272728,₹2.25 Cr,990 sq.ft,3
18437738,2 BHK Independent Builder Floor in Dwarka Mor,36.0,2.0,900.0,1.0,1.0,,0.04,₹36.0,900 sq.ft,3
18021837,3 BHK Independent Builder Floor in Hastsal,44.0,3.0,675.0,1.0,1.0,,0.06518518518518518,₹44.0,675 sq.ft,3
18385125,3 BHK Flat in Sector 22 Dwarka,27500000.0,3.0,1700.0,1.0,1.0,Sector 22,16176.470588235294,₹2.75 Cr,1700 sq.ft,3
18411859,3 BHK Flat in Sector 18 Dwarka,30000000.0,3.0,1600.0,1.0,,Sector 18,18750.0,₹3.0 Cr,1600 sq.ft,3
344224,The Sun View Apartments,10000000.0,4.0,,,,Sector 25,,₹1 Cr,.ft,3
18377096,2 BHK Flat in Sector 10 Dwarka,20500000.0,2.0,1200.0,1.0,,Sector 10,17083.333333333332,₹2.05 Cr,1200 sq.ft,3
18409081,2 BHK Flat in Rajpur,47.9,2.0,680.0,1.0,,,0.07044117647058823,₹47.9,680 sq.ft,3
320298,Mantra Premium Affordable Homes,22.0,4.0,,,,,,₹22,.ft,3
18167824,3 BHK Flat in Sector 18 Dwarka,27000000.0,3.0,1700.0,1.0,1.0,Sector 18,15882.35294117647,₹2.7 Cr,1700 sq.ft,4
18456797,3 BHK Independent Builder Floor in Vasant Vihar,100000000.0,3.0,2250.0,1.0,,Delhi,44444.444444444445,₹10.0 Cr,2250 sq.ft,4
18146155,3 BHK Flat in Sector 12 Dwarka,32000000.0,3.0,1800.0,1.0,1.0,Sector 12,17777.777777777777,₹3.2 Cr,1800 sq.ft,4
350243,Jay Hind Apartment,34.99,3.0,,,,,,₹34.99,.ft,4
18455841,4 BHK Independent Builder Floor in Paschim Vihar,50000000.0,4.0,2800.0,1.0,,,17857.14285714286,₹5.0 Cr,2800 sq.ft,4
762,Umang Winter Hills,13799999.999999998,4.0,,,,,,₹1.38 Cr,.ft,4
18413440,4 BHK Flat in Sector 19 Dwarka,47500000.0,4.0,2200.0,1.0,,Sector 19,21590.909090909092,₹4.75 Cr,2200 sq.ft,4
343687,Property The Gokuldham Apartment,10500000.0,4.0,,,,Sector 24,,₹1.05 Cr,.ft,4
18404349,4 BHK Independent Builder Floor in Paschim Vihar,50000000.0,4.0,2700.0,1.0,,,18518.51851851852,₹5.0 Cr,2700 sq.ft,4
17818633,3 BHK Flat in Burari,52.51,3.0,1000.0,1.0,,,0.05251,₹52.51,1000 sq.ft,4
331163,Affordable Floors,10000000.0,4.0,,,,Sector 7,,₹1 Cr,.ft,4
328815,Signature Metro Floors,26.0,4.0,,,,,,₹26,.ft,4
344100,The Crest By Goyal Builders,10000000.0,4.0,,,,Sector 25,,₹1 Cr,.ft,4
18393182,3 BHK Independent Builder Floor in Paschim Vihar,31000000.0,3.0,1620.0,1.0,1.0,,19135.802469135804,₹3.1 Cr,1620 sq.ft,4
18354189,3 BHK Flat in Sector 4 Dwarka,27500000.0,3.0,1800.0,1.0,1.0,Sector 4,15277.777777777777,₹2.75 Cr,1800 sq.ft,4
347564,Jain Luxury Floors,17100000.0,5.0,,,,Sector 8,,₹1.71 Cr,.ft,4
348087,Prem Luxury Floors,30.0,4.0,,,,Sector 14,,₹30,.ft,4
18439083,3 BHK Flat in Sector 3 Dwarka,26800000.0,3.0,1800.0,1.0,1.0,Sector 3,14888.888888888889,₹2.68 Cr,1800 sq.ft,4
18439484,3 BHK Flat in Sector 3 Dwarka,25000000.0,3.0,1800.0,1.0,1.0,Sector 3,13888.888888888889,₹2.5 Cr,1800 sq.ft,4
18440008,3 BHK Flat in Sector 3 Dwarka,25000000.0,3.0,1700.0,1.0,1.0,Sector 3,14705.882352941177,₹2.5 Cr,1700 sq.ft,4
343511,Goyal Premium Housing,11000000.0,3.0,,,,Sector 23,,1.1 Cr,.ft,4
